h,k,l,I,sigma,multiplicity,d,absent_212121,Fc2,weight,phase_rad
2,6,8,25.657884908165304,2.813535074428937,5,0.802792016064511,False,25.730725459143333,0.1174988839556244,-2.888342163495712
2,6,9,4.863011171571735,3.8877532151182193,1,0.7752206824590968,False,5.0790349570141755,0.06606246623422624,-2.172362213431565
2,7,0,16.53288987086028,3.4605191527649484,2,0.8183080977839428,False,13.735517063616815,0.08217719056686563,-3.141592653589793
2,7,1,-0.7384232555831297,2.014332445571272,4,0.8165036481619452,False,2.098223382862023,0.2463481214918328,2.666925697195641
2,7,2,19.00423571823005,2.8758776408392053,4,0.8111610890934648,False,22.338944822785518,0.11525766001813678,0.0078615765678361
2,7,3,15.491770658001064,4.042845704217923,4,0.8024852293723383,False,16.144238033009433,0.06033948355246488,2.235084609015115
2,7,4,7.876046652468628,1.977195692711232,4,0.7907937539104268,False,8.610996999422062,0.25174372501218834,-0.03149525698747561
2,7,6,122.63950912705856,13.35745792164304,1,0.7600113892296002,False,123.65472552720789,0.00520540823647106,2.700542538214566
3,0,1,124.27812832302094,3.000292861811326,7,1.908936843350028,False,114.98043156887185,0.04640319876702422,-1.570796326794896
3,0,2,204.5660468603697,4.893754939152566,11,1.8435118004898208,False,209.99037529105573,0.015884418983300442,2.556905753617048e-16
3,0,3,281.5927839943402,10.174642222336944,7,1.7479851849775474,False,282.5102582637645,0.00570780848201691,-1.570796326794898
3,0,4,945.2132247654628,15.956616979537408,7,1.6361835570897532,False,915.9559019364092,0.0009747956105102031,-2.0915724966663506e-16
3,0,5,98.04968366454864,2.6328886196944192,9,1.519676154516219,False,91.29644263866345,0.06753041665143003,-1.5707963267949
3,0,6,345.3092694494327,11.413975624571764,9,1.4062253731697218,False,320.3074389040879,0.004395924879426997,3.1415926535897922
3,0,7,23.96361699239195,1.6539408565594087,7,1.3001282488126062,False,24.568951129303866,0.3058195440383306,1.570796326794895
3,0,8,56.234566044492006,2.264065744988896,8,1.2032330668163245,False,57.079632313856465,0.12454237701490338,3.1415926535897905
3,0,9,158.06397602646857,4.504961500354268,7,1.1159076977461997,False,150.74665877387187,0.02414646666953537,1.5707963267948961
3,0,10,44.21291441196563,2.1975668933417447,7,1.0377322736206285,False,41.32349851927827,0.155312149187851,-3.1976312836803048e-15
3,0,11,61.97359430207239,4.846678800388725,6,0.9679281133155816,False,69.30579357974902,0.036345459432589294,1.5707963267948972
3,0,12,114.38675320974858,5.08319900401273,5,0.9055993202446035,False,114.90697438651087,0.02653480122656301,3.1415926535897922
3,0,13,131.26920507481287,6.237872975266302,4,0.8498580062431629,False,122.71920345687123,0.01883172348739379,-1.5707963267948977
3,0,14,18.99961145628156,3.146375351910048,3,0.7998826461938155,False,14.727126784024817,0.0986733118742746,-2.242064199669104e-15
3,0,15,57.721223506607366,8.28249217639586,1,0.7549401445062626,False,60.96820823433648,0.01392226729732608,-1.5707963267948966
3,1,0,46.36670932977957,1.2114452215116494,9,1.8384697016436835,False,45.08188474967166,0.30015125694967093,1.5707963267949
3,1,1,394.7412019899599,6.288234217609963,14,1.818276712254363,False,384.8731470547154,0.005709555978568306,-1.8076504170399958
3,1,2,294.77641652153574,5.588499216386838,13,1.7614697118203664,False,279.1356644823052,0.009615345125325803,-1.0250377123364578
3,1,3,120.78329654721628,3.1883583217489875,14,1.6775795973631074,False,118.43426154082262,0.043559549364476084,-1.2126843819279327
3,1,4,125.25027618070705,2.31638647912955,14,1.5780120999980205,False,118.21280046292256,0.05421064734262286,2.2266563799580514
3,1,5,31.17137083472864,1.0607709327756387,15,1.4727273854930232,False,28.488479949945727,0.5256925464813801,1.7221978548308758
3,1,6,161.3410896401633,4.077600733368041,15,1.3687789469622489,False,160.15994998851625,0.02510880802322499,2.1956089335305307
3,1,7,4.44728704471257,0.7635358015114174,15,1.270363002570064,False,6.07142532673022,1.6379734396356436,-2.2045893294962644
3,1,8,295.8374978090748,6.074177266828794,17,1.1795231309287546,False,289.46004435391933,0.00881711771515344,-1.2129725116069627
3,1,9,29.484450102969348,1.428301847691098,12,1.0969164162952618,False,31.5562240031631,0.3451295868845937,0.4212864783437918
3,1,10,89.5271010225195,2.6268288325226914,12,1.0224066202681248,False,86.37634338208244,0.07257257642358289,0.929968728543879
3,1,11,20.520042744790377,1.4719722171479046,10,0.9554560263055824,False,16.729408403742017,0.40682261421646343,2.1048378566883357
3,1,12,29.8014362357179,2.032027672209379,8,0.8953602301664942,False,30.6371363521216,0.20166908781826662,2.005274547956476
3,1,13,39.32107638071568,2.6831869104421395,7,0.8413785346553934,False,34.79285594558678,0.11925248620045435,2.8991272021555687
3,1,14,104.13107099144068,5.176072347788912,5,0.7928007630125726,False,91.75756781787862,0.028517841898847093,-1.6598636728310718
3,2,0,167.65365043574832,6.587666902634818,7,1.6222063200867185,False,149.34972235200374,0.015350172239392227,-1.5707963267948968
3,2,1,169.35735480902812,2.416842739104009,15,1.6082833621089343,False,167.9286943564001,0.03188234105215473,-2.9506233438064644
3,2,2,503.9134717341326,7.98028509798733,15,1.568571503429652,False,487.70780708423393,0.0035394923554959382,3.0435782913079237
3,2,3,545.9355789768124,7.451452431129702,12,1.5084574848623593,False,528.8790839947603,0.0031978785780424927,0.6303746322610209
3,2,4,78.28067075378515,1.9770171464631752,11,1.434837080645533,False,72.34866748370311,0.11260604274433883,1.5821448860955425
3,2,5,313.9092696415933,4.794775053248294,13,1.3543213883420733,False,315.5524336676345,0.008905129663843842,1.8063683329291975
3,2,6,99.83407349905518,2.54564270962845,14,1.2721703230366648,False,100.35339517941503,0.06446298482490836,-2.6406949777578617
3,2,7,131.23056780175511,3.0214842886345035,12,1.192005932987187,False,132.22117391924408,0.04034694846048512,-2.0072605457710644
3,2,8,130.16195484381052,4.191089046048726,10,1.116007197997256,False,125.83786243827247,0.031108827685560385,-0.7071655400328939
3,2,9,315.9121640349534,6.95797412568307,8,1.0452782549292947,False,305.4583382159733,0.007445205839439175,-1.270850100205878
3,2,10,240.19672042941255,6.956188934576208,6,0.9802073651435532,False,229.5275547662569,0.01027918509684574,0.3616754178640255
3,2,11,19.25785311830096,2.034727299980631,6,0.9207471080274692,False,17.205678199837497,0.22582774300225184,1.3436611565619478
3,2,12,73.43167585712858,4.125773133326076,5,0.8666086191858774,False,69.5750836234884,0.0464229045639725,2.916180232165281
3,2,13,34.22616163625379,2.675036205468704,6,0.8173862552603636,False,34.38647917266203,0.12170339128961548,1.7384662170439713
