h,k,l,heldout_fold,Fo2,sigma,heldout_predicted_Fc2
1,2,0,2,2.49876803,0.9260079231,2.175845809
1,2,1,3,90.24906566,2.500597714,93.30628367
1,2,2,1,401.9740742,6.733007292,434.6312663
1,2,3,2,706.4663833,10.50697941,657.4514878
1,2,4,4,225.7384101,3.812118308,229.7390017
1,2,5,0,562.132485,8.732980481,536.3227046
1,2,6,1,20.46500017,2.083747523,22.60029116
1,2,7,0,129.6273252,3.054520524,129.5568201
1,2,8,4,4.178514643,0.9436196022,4.256580547
1,2,9,1,313.8961947,4.969671538,307.4042968
1,2,10,3,9.293801096,1.101887956,12.28782001
1,2,11,4,9.531738091,1.49400404,8.945975436
1,2,12,2,31.88522662,2.069642465,29.41278993
1,2,13,2,75.31224123,3.771006673,72.97304359
1,2,14,4,55.12244974,4.947335185,52.68496912
1,2,15,2,11.41776643,3.673573595,15.14505409
1,3,0,3,311.761547,9.440074226,298.045481
1,3,1,2,451.9491564,10.98273363,422.0790963
1,3,2,4,67.95017322,2.498998816,61.85012946
1,3,3,3,560.0620391,9.512059389,534.2695459
1,3,4,3,116.7278201,3.629348779,106.5890791
1,3,5,0,32.17641828,1.649279496,29.99064853
1,3,6,4,70.53392079,2.067206902,61.08957954
1,3,7,1,200.7930111,3.747541912,195.3448666
1,3,8,3,50.85359158,1.679531496,51.03732433
1,3,9,2,422.4908209,8.807288274,409.6023117
1,3,10,4,36.06671887,2.767494375,39.06907158
1,3,11,3,54.76916098,2.638007409,54.92416871
1,3,12,1,60.31884786,3.174662145,56.71014136
1,3,13,4,76.97053362,4.985688936,79.85754088
1,3,14,2,29.49768342,3.045762085,26.91292025
1,3,15,0,3.706045682,3.151298242,0.9485670767
1,4,0,2,5.743880203,2.431839174,4.746824764
1,4,1,3,173.2524459,4.819217116,163.7896408
1,4,2,3,38.00866839,1.881973392,39.20714258
1,4,3,0,169.1466738,4.199186029,178.9178332
1,4,4,0,23.59047571,1.581521756,22.01336947
1,4,5,3,61.9172098,2.074317425,61.30533199
1,4,6,4,41.71075284,1.588298339,35.07513639
1,4,7,0,317.4559991,7.534123835,316.172625
1,4,8,2,48.69113281,2.300416027,47.12677521
1,4,9,4,4.117621419,0.9781219345,4.203277495
1,4,10,2,32.25679726,2.429358769,30.6335129
1,4,11,0,264.4262867,8.454549117,270.1994486
1,4,12,2,42.70354505,2.949913948,48.28385482
1,4,13,2,32.18512498,3.417552475,37.88830649
1,4,14,0,36.96113363,6.963145123,36.17315394
1,5,0,0,17.38403802,3.844724298,15.30789171
1,5,1,3,147.6552801,4.174638399,142.7574523
1,5,2,4,99.27588401,3.396537249,94.58053095
1,5,3,3,395.8263148,11.43940254,401.4832855
1,5,4,4,9.783694072,2.029844721,10.35337588
1,5,5,2,38.27382677,4.206420531,54.26567485
1,5,6,1,67.91298614,3.367773715,71.08352381
1,5,7,3,153.1931565,5.244178491,152.5950891
1,5,8,2,0.04608793675,0.9009045972,0.144302089
1,5,9,4,66.15630448,3.433082545,74.854617
1,5,10,2,10.73658661,2.546224732,14.00752551
1,5,11,2,56.18481166,5.349134728,56.28620719
1,5,12,2,16.90595625,3.511949283,18.88980555
1,5,13,1,7.951641762,4.633164443,20.13617801
1,6,0,0,29.575964,7.325599021,29.50184002
1,6,1,4,136.2281844,6.126535175,123.1857343
1,6,2,1,97.43558244,5.278192119,99.87954677
1,6,3,0,65.89580981,4.295786234,67.660228
1,6,4,3,70.42145376,4.730295998,64.60229772
1,6,5,4,108.1221301,5.64498954,110.8431461
1,6,6,0,12.08792066,2.425662531,14.19068222
1,6,7,1,53.08853785,3.235166672,51.66361811
1,6,8,3,49.33167452,3.533009175,49.70490795
1,6,9,0,2.601935837,1.452072835,0.5638403624
1,6,10,0,0.2051170517,1.765984946,1.056939456
1,6,11,0,15.9076145,4.934062987,14.47263291
1,7,0,2,155.4097594,11.20056881,149.0235706
1,7,1,1,50.55505389,4.225747638,50.21760674
1,7,2,0,14.45065703,2.888468582,15.69405638
1,7,3,4,33.7603235,4.758681481,24.22632998
1,7,4,2,57.41983294,4.616116266,52.97665564
1,7,5,4,49.25920842,4.350001124,46.6322752
1,7,7,3,16.43148089,3.756710445,13.69296265
1,7,8,1,2.614528828,2.107788818,0.05390024352
1,7,9,1,47.45496599,5.575163721,52.24718074
2,0,0,3,4360.744051,125.026193,4309.304992
2,0,1,2,738.1507093,12.85402692,787.1339458
2,0,2,3,264.8461816,6.007787672,227.0832049
2,0,3,2,74.60827079,2.181759811,100.821361
2,0,4,2,239.533004,4.120642489,257.2348871
2,0,5,2,742.593066,11.86988937,746.3647465
2,0,6,2,118.717674,3.213194483,124.2072017
